"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PAMR1",-4.10222189624013,6.55371857968621,-29.3952058837212,8.92641325081086e-144,4.36331581045588e-141,317.828706831664
"NUF2",3.88655699755314,7.5889931461602,29.3578297238947,1.69571832119453e-143,8.096069100959e-141,317.188770576075
"ANGPTL7",-5.23249177581602,2.02851742361685,-29.3347148939676,2.52155547976908e-143,1.17653486362862e-140,316.793077458168
"HEPACAM",-5.16837168273921,2.25846985962015,-29.2337618978392,1.42553944291951e-142,6.50362772514169e-140,315.06551875009
"HEPN1",-4.94264972012986,2.14691494632535,-29.0970077442288,1.48722874758214e-141,6.63756656257856e-139,312.726936221101
"NKAPL",-2.70408154616258,2.91284822460776,-28.9940987041569,8.67331710949762e-141,3.78857872889332e-138,310.968389858754
"HPSE2",-4.18056132194662,1.75810379851363,-28.9770127808008,1.16221177345468e-140,4.97087660604679e-138,310.676526507826
"GPR146",-2.72723423451518,6.61412857142857,-28.8935939599382,4.84880317225661e-140,2.03154957400874e-137,309.252002365001
"UBE2C",4.19403158054661,8.5945931461602,28.8171216530484,1.79490221269645e-139,7.36986848533161e-137,307.946758031095
"SDPR",-4.69816529130484,7.11500800990917,-28.7700717630705,4.01437188385419e-139,1.6159814661868e-136,307.144017571742
"SLC2A4",-4.36228682451342,4.46973014037985,-28.6553623578521,2.85399412851233e-138,1.12677883573766e-135,305.18793290036
"SIK2",-2.23438024756512,9.24023146160198,-28.6530084656352,2.97116281521988e-138,1.15090514332951e-135,305.147808524561
"NPR1",-3.5095272441587,7.39725202312139,-28.5849301568015,9.50968751131551e-138,3.61544230754273e-135,303.987619543922
"ITIH5",-4.24994675590526,8.30486589595376,-28.4308850241778,1.31992507134227e-136,4.92692031175578e-134,301.364355603752
"ADAMTS5",-3.54227678916983,7.96958191577209,-28.4284303249492,1.37639577116323e-136,5.04596521106806e-134,301.322576514045
"CAV2",-2.98483335972111,9.133417671346,-28.4085272689815,1.93308923471237e-136,6.96251262958683e-134,300.983851934078
