"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061982","meiosis I cell cycle process","35/1072","142/18860",0.246478873239437,4.33637271389531,9.79675334776175,8.96166668749779e-14,2.19902230669886e-11,1.92889206797572e-11,"PKMYT1/CDC25C/PLK1/ZWINT/CCNB2/CKS2/TOP2A/NDC80/PTTG1/CDC20/AURKA/RAD51/ESPL1/RAD54L/CCNE2/EME1/TRIP13/MND1/RAD51AP1/FANCD2/HSF2BP/RAD54B/CDC25A/RMI1/PTTG3P/SYCE2/BRIP1/CCNE1/PSMC3IP/BRCA2/TEX19/MYBL1/EME2/MAPK15/SYCP2",35
"GO:0044772","mitotic cell cycle phase transition","69/1072","461/18860",0.149674620390456,2.63326804157089,8.71573424995337,1.30365911969754e-13,3.05352520172792e-11,2.67842691865131e-11,"PKMYT1/IQGAP3/SPC25/CDC25C/NUF2/UBE2C/DLGAP5/DTL/BUB1/MELK/CDK1/PLK1/ZWINT/RRM2/BUB1B/CCNB2/CKS2/CDKN3/NDC80/CENPF/CCNB1/FOXM1/BIRC5/SKA3/ANLN/CDCA8/CDC20/KIF14/TACC3/AURKA/EZH2/ESPL1/AURKB/SKA1/SPC24/CCNF/CCNA2/UBE2S/CCNE2/TTK/E2F1/CENPE/E2F7/INHBA/MAD2L1/CDC6/TRIP13/CLSPN/RCC1/STIL/BLM/ZWILCH/CDC7/CDC25A/DONSON/DBF4/PSME2/CHEK1/ANAPC11/CDKN2D/CCNE1/MUC1/CDKN2A/IER3/TERT/BRSK1/BRSK2/MYB/CCNO",69
"GO:0045787","positive regulation of cell cycle","58/1072","349/18860",0.166189111747851,2.92381217123551,8.90540353490804,1.38245628503393e-13,3.09730314642601e-11,2.71682713406667e-11,"CDC25C/UBE2C/NUSAP1/DLGAP5/DTL/BUB1/CDK1/RRM2/POC1A/NDC80/NCAPG/CCNB1/BIRC5/SKA3/CDCA8/CDC20/KIF14/KIF23/AURKA/NCAPH/EZH2/ESPL1/SPAG5/AURKB/SKA1/FAM83D/CCNE2/E2F8/CIT/E2F7/MAD2L1/CDC6/RACGAP1/ECT2/RAD51AP1/FEN1/STIL/SMC4/PLK4/PKP3/CDC7/CDC25A/LEF1/DBF4/RAB11FIP4/PTK6/CHEK1/ANAPC11/OVOL1/CCNE1/GPSM2/BRCA2/MAPK15/TERT/FOXA1/CXCR5/ASCL1/SLC6A4",58
"GO:0051783","regulation of nuclear division","35/1072","147/18860",0.238095238095238,4.18887704335465,9.52835424951445,2.70910070266967e-13,5.81666496702367e-11,5.10213965669454e-11,"NEK2/PKMYT1/SPC25/CDC25C/NUF2/UBE2C/NUSAP1/DLGAP5/BUB1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/MKI67/CDCA8/CDC20/AURKA/ESPL1/AURKB/SKA1/SPC24/TTK/CDCA2/MAD2L1/TRIP13/RAD51AP1/RCC1/FBXO43/ZWILCH/CHEK1/ANAPC11",35
"GO:0007094","mitotic spindle assembly checkpoint signaling","20/1072","48/18860",0.416666666666667,7.33053482587065,10.7804452549175,3.80095215943872e-13,7.25418758429175e-11,6.36307546691223e-11,"SPC25/NUF2/BUB1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/CDCA8/CDC20/AURKB/SKA1/SPC24/TTK/MAD2L1/TRIP13/ZWILCH",20
"GO:0071173","spindle assembly checkpoint signaling","20/1072","48/18860",0.416666666666667,7.33053482587065,10.7804452549175,3.80095215943872e-13,7.25418758429175e-11,6.36307546691223e-11,"SPC25/NUF2/BUB1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/CDCA8/CDC20/AURKB/SKA1/SPC24/TTK/MAD2L1/TRIP13/ZWILCH",20
"GO:0071174","mitotic spindle checkpoint signaling","20/1072","48/18860",0.416666666666667,7.33053482587065,10.7804452549175,3.80095215943872e-13,7.25418758429175e-11,6.36307546691223e-11,"SPC25/NUF2/BUB1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/CDCA8/CDC20/AURKB/SKA1/SPC24/TTK/MAD2L1/TRIP13/ZWILCH",20
"GO:0010948","negative regulation of cell cycle process","54/1072","318/18860",0.169811320754717,2.98753872148691,8.77493751412018,3.99668773206647e-13,7.35533281547803e-11,6.45179591033587e-11,"NEK2/PKMYT1/SPC25/NUF2/DTL/BUB1/CDK1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/CDCA8/CDC20/CDC45/RAD51/EZH2/ESPL1/AURKB/SKA1/SPC24/CCNF/TTK/E2F8/E2F1/CDT1/EME1/E2F7/INHBA/MAD2L1/CDC6/TIMELESS/TRIP13/CLSPN/FBXO43/INTS7/FANCD2/DNA2/BLM/ZWILCH/DONSON/WDR76/CHEK1/BRIP1/CDKN2D/OVOL1/MUC1/BRCA2/IER3/EME2/BRSK1",54
"GO:0051983","regulation of chromosome segregation","33/1072","134/18860",0.246268656716418,4.3326743149922,9.50420787508524,4.6963405973814e-13,8.3449114132091e-11,7.31981362074619e-11,"SPC25/NUF2/UBE2C/DLGAP5/BUB1/CDK1/PLK1/ZWINT/BUB1B/NDC80/KIF2C/CENPF/NCAPG/CCNB1/BIRC5/SKA3/CDCA8/CDC20/TACC3/NCAPH/ESPL1/AURKB/SKA1/SPC24/TTK/CENPE/MAD2L1/CDC6/TRIP13/SMC4/ZWILCH/ANAPC11/MAPK15",33
"GO:0031577","spindle checkpoint signaling","20/1072","49/18860",0.408163265306122,7.18093207432227,10.6350425485703,6.08158565628268e-13,1.04461369622749e-10,9.16292238879924e-11,"SPC25/NUF2/BUB1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/CDCA8/CDC20/AURKB/SKA1/SPC24/TTK/MAD2L1/TRIP13/ZWILCH",20
